treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_ARM_AkELkA_Dwarven_Plate_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Demon_Body_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Cloth_Gortash",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Ketheric_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Ketheric_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Orin",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bhaal_Rags_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bhaal_Rags_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainShirt_Body_Destroyed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_Broken_A_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_Body_Githyanki_Broken",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_Shar_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_Shar_Justiciar_Broken",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_Shar_Justiciar_of_Damned_Broken",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BreastPlate_Lady_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BreastPlate_Lady_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BreastPlate_Lady_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Astarion_StarterArmor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Astarion_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Astarion_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Bard",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_F",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_I",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bard_J",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body_Rogue",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Body_A_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Body_A_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_A_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body_Drow",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_4",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_5",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_6",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_7",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Leather_Drow_8",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_StuddedLeather_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_StuddedLeather_A_1_Scarf",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Leather_Jaheira",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body_Druid",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Druid_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Druid_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Hide_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Hide_Druid_A_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Hide_Armor_A_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Hide_Armor_A_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Karlach_StarterArmor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Metal_DevilsBlacksmith_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Metal_DevilsBlacksmith_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Metal_DevilsBlacksmith_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body_Minsc",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Barbarian",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BarbarianMagical_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BarbarianMagical_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BarbarianMagical_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_BarbarianMagical_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_RingMail_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_RingMail_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_RingMail_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_RingMail_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_RingMail_4",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_RingMail_5",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_RingMail_6",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AARM_AkELkA_RingMail",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Ravengard_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_FlamingFist",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_FlamingFist",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_FlamingFist",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainMail_FlamingFist_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Padded_BGWatch",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Padded_BGWatch_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Breastplate_BGWatch_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_StuddedLeather_CultOfAbsolute_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_CultOfAbsolute",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_CultOfAbsolute",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_CultOfAbsolute_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_CultOfAbsolute_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_CultOfAbsolute_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_CultOfAbsolute_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bandit_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bandit_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bandit_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bandit_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bandit_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Bandit_F",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Cloth_Magic_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "ARM_AkELkA_Cloth_Magic_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Cloth_Magic_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Monk_Magic_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Monk_Magic_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Breastplate_Githyanki_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_Githyanki_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_Githyanki_B_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_Githyanki_C_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_Leather_A_Githyanki_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_Leather_B_Githyanki_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Weave_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_GaleRobe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_A_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_A_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_A_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_A_3_Satin",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_B_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_B_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_B_Undead",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_B_Wizard",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_E_SpiderQueen",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Lorroakan",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Lorroakan_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Fire",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Frost",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_SpellResistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body_Sorcerer",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body_Sorcerer_DraconicAncestry",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body_Sorcerer_StormSorcery",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body_Sorcerer_ShadowSorcery",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Umberlee_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Shar_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Shar_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Isobel_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Isobel_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Isobel_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Isobel_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Robe_Isobel_Infernal_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainShirt_Body_Shar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_Shar_Justiciar_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_Shar_Justiciar_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainShirt_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_F",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_ChainShirt_G",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Breastplate_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Breastplate_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Breastplate_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainMail_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainMail_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Splint_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Splint_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Splint_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Splint_Adamantine_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Scalemail_Adamantine_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Scalemail_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Scalemail_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Scalemail_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body_Paladin_Devotion",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body_Paladin_Ancients",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body_Paladin_Vengeance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body_Paladin_Crown",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_HalfPlate_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_PlateMail_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_PlateMail_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_PlateMail_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_PlateMail_Oathbreaker_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_PlateMail_Decorated_B",1,0,0,0,0,0,0,0
new treasuretable "AkELKA_Chest_ChaosForge_Boots_A_TT"
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Dark_Justiciar_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Cloth_B_Torn",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Cloth_C_Torn",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Daisy_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Jaheira_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Karlach_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Metal_Karlach",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_Oathbreaker_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_DevilsBlacksmith_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Isobel",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Nightsong",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Ketheric",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Demon_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Mindflayer_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Gortash_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_F",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_G",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_F",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Leather_G",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_FlamingFist_Leather_G",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Metal_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Metal_A_Decor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_D",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_E",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_F",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Metal_Bane_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Metal_HalfPlate_EndGame_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_Barbarian",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Barbarian_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_BarbarianMagical_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_BarbarianMagical_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Hide",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_Leather_Druid",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_ Boots_Metal_Githyanki_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_Githyanki_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Chainmail_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Dark_Justiciar_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_ShadowDruid_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Barbarian_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkElkA_Boots_Metal_Platemail_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Metal_Myrkul_Plate",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Cloth_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Boots_Cloth_C",1,0,0,0,0,0,0,0
new treasuretable "AkELKA_Chest_ChaosForge_Glovebox_A_TT"
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Dark_Justiciar_Gloves_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Dark_Justiciar_Gloves_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Gortash",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Umberlee",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Mindflayer_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Druid_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Druid_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Shadow_Druid_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Barbarian_Karlach_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_Barbarian_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_BarbarianMagical_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_Gloves_BarbarianMagical_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_AkELkA_DevilsBlackmith_Gloves_A",1,0,0,0,0,0,0,0
